date	studen1	studen2	studen3	studen4	studen5	studen6	studen7	studen8	Possible
131118	x	9	1	2	9	9	7	9	10
131119	x	2	m	8	10	m	10	12	10
131120	x	8	m	9	9	4	9	10	10 
131121	x	9	5	3	8	m	5	9	10
131127	x	9	4	m	7	3	8	8	10
131201	x	9	8	10	9	4	10	10	10
131203	x	8	m	7	7	m	8	8	10
131209	x	10	10	7	8	10	9	9	10
131210	x	6	9	4	8	6	8	10	10
131216	x	7	6	2	9	7	8	10	10
131217	x	8	9	m	10	7	10	10	10
131218	x	4	2	9	9	8	9	10	10
131219	x	10	10	7	10	8	10	10	10
131220	x	8	9	9	10	7	10	10	10
140113	x	10	10	5	10	10	10	10	10
140114	x	9	10	9	9	8	9	10	10
140115	x	10	10	10	10	x	10	10	10
140120	x	9	10	9	10	m	10	10	10
140121	x	5	10	10	8	m	8	10	10
140127	x	10	10	m	10	10	10	10	10
140128	x	9	3	8	10	9	m	10	10
140129	x	13	14	19	19	m	19	20	20
140211	x	m	10	8	8	8	10	9	10
140217	x	7	10	m	10	m	m	9	10
140218	x	6	9	10	9	7	9	9	10
140221a	x	2	4	8	9	8	10	12	10
140221b	x	9	10	9	7	9	8	10	10
140225	x	10	7	7	x	m	10	9	10
140226	x	8	7	7	9	8	10	10	10
140227	x	6	10	9	8	7	8	10	10
140228	x	9	10	6	8	6	8	9	10
140303	x	15	16	19	25	21	25	26	30
140312	x	14	m	7	15	m	16	18	20
140321	16	13	8	15	20	m	20	19	20
140331	9	13	m	11	13	m	14	14	15
140407	7	4	10	m	10	m	10	8	10
140409	16	17	m	15	19	m	20	19	20
140414	0	10	0	18	0	0	35	29	0
