date	studen1	studen2	studen3	studen4	studen5	studen6	studen7	studen8 possible
131009	x	5	1	5	5	2	x	5	5
131010	x	5	5	4	5	2	x	5	5
131011	x	4	5	4	3	2	x	5	5
131017	x	6	4	a	8	4	x	8	5
131022	x	5	5	5	5	5	5	5	5
131023	x	5	5	2	5	2	5	5	5
131024	x	x	0	5	5	3	5	5	5
131029	x	5	4	5	5	5	5	5	5
131030	x	2	1	5	5	1	5	3	5
131105	x	7	4	5	7	2	7	7	5
131105b	x	5	1	5	5	4	5	5	5
131106	x	4	4	5	5	4	5	5	5
131107	x	5	2	4	4	2	4	4	5
131108	x	3	2	4	5	2	5	5	5
131112	x	2	0	0	5	2	5	2	2
131113	x	3	1	5	5	5	5	5	5
131115	x	4	5	1	5	x	5	5	5
131118	x	5	3	3	5	3	3	5	4
131119a	x	5	5	5	5	2	5	5	5
131119b	x	5	5	3	5	2	5	5	5
131120	x	5	a	5	5	5	5	5	5
131121	x	5	5	5	5	3	5	5	5
131125	x	5	5	5	4	4	2	5	5
131126	x	5	4	5	5	5	3	5	5
131129	x	3	2	3	4	2	4	5	5
131202	x	4	5	3	5	5	4	5	5
131206	x	5	5	5	4	2	4	5	5
131210	x	5	5	5	5	2	5	5	5
131216	x	3	3	3	4	3	4	5	5
140120	x	5	2	4	4	4	4	5	5
140121	x	5	5	4	5	5	5	5	5
140122	x	4	5	5	5	5	5	5	5
140124	x	5	5	3	5	5	5	5	5
140128	x	4	5	5	5	a	5	5	5
140129	x	5	5	5	5	a	5	5	5
140130	x	5	5	5	5	5	5	5	5
140131	x	5	5	5	5	5	5	5	5
140218a	x	4	4	4	4	4	x	5	5
140218b	x	0	0	1	4	5	a	5	5
140304	x	3	5	0	3	3	3	5	5
140415	1	a	2	t	2	1	3	5	3
140515	4	5	2	4	5	1	5	5	5
140521	5	5	5	5	4	5	4	5	5
140522	4	4	5	2	4	2	5	5	5	
140527	5	4	3	5	5	5	4	5	5
140529	5	5	0	1	5	2	5	5	5
140602	3	5	a	5	5	5	5	5	5
